ticket_id,created_date,assigned_to,priority,status,first_response_date,resolution_date,category,team,customer_tier,escalated,escalation_date,satisfaction_score
T-2024-001,2025-07-31T02:52:56.020Z,sarah.jones@company.com,Medium,Open,2025-07-31T22:16:30.318Z,"",Bug,Technical,Pro,false,"",4
T-2024-002,2025-07-05T10:09:53.748Z,mike.wilson@company.com,High,In Progress,2025-07-05T15:32:29.217Z,"",Feature Request,General,Enterprise,false,"",""
T-2024-003,2025-07-16T00:28:08.590Z,jane.smith@company.com,Critical,Closed,2025-07-16T07:18:09.631Z,2025-07-16T19:18:13.824Z,Question,Technical,Free,false,"",1
T-2024-004,2025-07-04T21:47:44.448Z,john.doe@company.com,Medium,Closed,2025-07-05T20:58:30.178Z,2025-07-07T15:51:49.826Z,Feature Request,Technical,Free,false,"",""
T-2024-005,2025-07-04T09:33:42.425Z,john.doe@company.com,Low,Open,2025-07-05T04:23:37.546Z,"",Account Issue,Sales,Pro,false,"",4
T-2024-006,2025-07-06T16:07:55.655Z,john.doe@company.com,Medium,Resolved,2025-07-06T17:33:13.339Z,2025-07-08T07:40:23.519Z,Bug,Technical,Enterprise,false,"",""
T-2024-007,2025-07-15T05:49:36.975Z,john.doe@company.com,Critical,In Progress,2025-07-16T03:12:47.263Z,"",Bug,Billing,Pro,false,"",3
T-2024-008,2025-08-03T02:16:09.677Z,lisa.davis@company.com,High,Resolved,2025-08-03T04:16:45.713Z,2025-08-03T21:21:54.041Z,Account Issue,General,Pro,false,"",3
T-2024-009,2025-07-08T23:30:19.766Z,mike.wilson@company.com,Critical,Closed,2025-07-09T22:43:50.414Z,2025-07-10T12:48:31.385Z,Bug,Billing,Pro,false,"",1
T-2024-010,2025-07-12T16:21:46.438Z,john.doe@company.com,Low,Closed,2025-07-13T14:16:51.729Z,2025-07-15T06:48:17.907Z,Question,Sales,Free,false,"",4
T-2024-011,2025-07-16T18:41:32.167Z,david.brown@company.com,Low,In Progress,2025-07-17T06:41:34.950Z,"",Technical Issue,Billing,Free,false,"",3
T-2024-012,2025-07-13T14:35:38.848Z,david.brown@company.com,High,Open,2025-07-13T23:04:29.602Z,"",Bug,Billing,Pro,false,"",5
T-2024-013,2025-07-13T08:35:36.255Z,sarah.jones@company.com,Critical,In Progress,2025-07-14T04:25:04.718Z,"",Technical Issue,Sales,Enterprise,false,"",3
T-2024-014,2025-08-02T16:01:36.782Z,jane.smith@company.com,Critical,Open,2025-08-03T10:55:39.462Z,"",Feature Request,Sales,Pro,false,"",2
T-2024-015,2025-07-18T21:23:34.092Z,jane.smith@company.com,High,Open,2025-07-19T11:05:37.627Z,"",Technical Issue,Sales,Enterprise,false,"",""
T-2024-016,2025-07-31T06:06:55.673Z,mike.wilson@company.com,High,Resolved,2025-08-01T00:29:14.142Z,2025-08-02T06:49:51.688Z,Bug,Sales,Enterprise,false,"",4
T-2024-017,2025-07-27T04:07:51.394Z,john.doe@company.com,Medium,Open,2025-07-27T11:51:41.310Z,"",Account Issue,Sales,Pro,false,"",5
T-2024-018,2025-07-11T15:10:54.063Z,lisa.davis@company.com,Critical,Open,2025-07-11T17:03:06.958Z,"",Account Issue,Technical,Pro,false,"",2
T-2024-019,2025-07-22T11:39:58.710Z,david.brown@company.com,Medium,Open,2025-07-22T22:48:50.276Z,"",Feature Request,Technical,Free,false,"",2
T-2024-020,2025-07-19T22:04:18.458Z,david.brown@company.com,High,In Progress,2025-07-20T12:56:34.682Z,"",Bug,Billing,Enterprise,false,"",4
T-2024-021,2025-07-11T18:55:49.823Z,mike.wilson@company.com,Low,Open,2025-07-12T11:03:50.677Z,"",Account Issue,Billing,Pro,false,"",4
T-2024-022,2025-07-15T12:03:43.857Z,john.doe@company.com,Critical,Open,2025-07-15T21:30:06.767Z,"",Account Issue,General,Free,false,"",5
T-2024-023,2025-07-06T20:49:20.987Z,david.brown@company.com,Critical,In Progress,2025-07-07T02:44:50.903Z,"",Question,Technical,Enterprise,false,"",5
T-2024-024,2025-07-18T20:22:36.368Z,david.brown@company.com,Critical,Closed,2025-07-19T11:00:00.295Z,2025-07-21T05:52:20.086Z,Account Issue,Sales,Free,false,"",4
T-2024-025,2025-07-25T12:11:43.904Z,john.doe@company.com,Critical,Resolved,2025-07-25T13:41:41.879Z,2025-07-26T13:56:18.968Z,Bug,Technical,Pro,false,"",""
